Cod_TCAC;Alimento;Serving;Alimento_TCAC;Precio_100g_ajust;Energia (Kcal);Proteina (g);Carbohidratos Totales (g);Lipidos (g);Calcio (mg);Zinc (mg);Hierro (mg);Magnesio (mg);Fosforo (mg);Vitamina C (mg);Tiamina (mg);Riboflavina (mg);Niacina (mg);Folatos (mcg);Vitamina B12 (mcg);Vitamina A (ER);Sodio (mg)
A010;Arroz de primera;100;Arroz blanco, pulido, crudo;335,7;353;6,7;80,1;0,4;9;1,2;0,8;35;140;0;0,07;0,03;1,8;9;0;0;2
A012;Avena en hojuelas;100;Avena en Hojuelas, Precocida;1052,4;411;16,9;64,1;7,5;54;4;4,5;155;320;0;0,72;0,13;1,6;57;0;0;3
A027;Galletas saladas;100;Galletas saladas, tipo soda;1390,9;424;9,6;72,9;9,7;38;0,7;5,6;23;145;0;0,12;0,37;6,2;134;0,06;1;944
A029;Avena molida;100;Harina de avena, cruda;1052,4;414;14,7;66,2;8,6;54;3,2;4;132;440;0;0,63;0,13;1,5;32;0;0;19
A034;Harina precocida de maíz;100;Harina de maíz blanco, precocida;440,3;380;9,1;73,9;3,7;4;1,3;2,7;44;248;0;0,3;0,12;2,7;35;0;0;1
A040;Harina de trigo;100;Harina de trigo, fortificada, todo propósito, cruda;422;360;12,5;72,3;1,7;15;1;4,3;26;107;0;0,98;0,47;6,1;216;0;0;2
A043;Chócolo mazorca;100;Maíz amarillo, crudo;112,5;393;9,4;74,5;4,7;7;2,2;2,7;127;213;0;0,38;0,2;3,6;19;0;34;35
A072;Pastas alimenticias;100;Pasta alimenticia, enriquecida, cruda;702,8;371;13;74,7;1,5;25;1,3;3,9;53;120;0;0,95;0,39;7,1;237;0;0;6
B006;Ahuyama;100;Ahuyama, cruda;140,892;30;0,8;5,8;0,2;20;0,2;0,8;12;34;9;0,05;0,05;0,6;16;0;1775;1
B014;Apio;100;Apio, crudo;281,2;26;0,7;4,6;0,2;42;0,2;0,4;14;33;5;0,04;0,04;0,3;36;0;22;80
B019;Arveja verde en vaina pastusa;100;Arveja verde, cruda;1200;99;5,9;15,5;0,3;36;1,2;1,5;33;110;33;0,36;0,12;2,2;65;0;51;5
B025;Brócoli;100;Brócoli, crudo;775;46;3;6,6;0,3;60;0,4;1,1;21;70;89;0,07;0,14;0,9;63;0;31;33
B027;Cebolla cabezona blanca bogotana;100;Cebolla cabezona, cruda;178,08;40;1,4;7,7;0,1;24;0,2;0,3;7;40;10;0,04;0,03;0,2;18;0;1;4
B029;Cebolla junca Aquitania;100;Cebolla junca, tallos, cruda;544,5;37;1,2;6,8;0,1;57;0,2;0,5;17;31;13;0,04;0,05;0,3;26;0;200;15
B029;Cebolla junca Tenerife;100;Cebolla junca, tallos, cruda;637;37;1,2;6,8;0,1;57;0,2;0,5;17;31;13;0,04;0,05;0,3;26;0;200;15
B039;Coliflor;100;Coliflor, crudo;439,625;36;1,9;5,7;0,1;25;0,3;0,7;12;57;55;0,03;0,08;0,5;57;0;15;41
B052;Habichuela;100;Habichuela, cruda;435,897;43;2,1;7,2;0;40;0,2;1;22;39;10;0,06;0,1;0,7;34;0;33;6
B059;Lechuga Batavia;100;Lechuga común, cruda;248,066;18;0,8;2,6;0,1;21;0,3;0,9;6;27;3;0,06;0,04;0,4;53;0;10;6
B074;Papa parda pastusa;100;Papa, variedad harinosa, pastusa, con cáscara, cruda;126,1;89;2,1;18,9;0,1;12;0,3;0,8;23;57;20;0,08;0,03;1,1;16;0;0;6
B077;Pepino cohombro;100;Pepino Cohombro, crudo;135,926;14;0,5;2,3;0,1;18;0,1;0,3;12;22;8;0,02;0,02;0,1;14;0;2;2
B080;Pimentón;100;Pimentón rojo, crudo;525,808;35;1;6,3;0,3;7;0,2;0,4;12;24;160;0,05;0,07;1,1;35;0;184;2
B098;Remolacha bogotana;100;Remolacha, sin cáscara, cruda;297,625;53;1,4;10,3;0,1;16;0,4;0,8;23;40;6;0,03;0,04;0,3;109;0;2;71
B103;Tomate chonto;100;Tomate, crudo;423,5;23;0,9;4,1;0,1;9;0,1;0,5;10;24;20;0,05;0,05;0,6;23;0;62;6
B107;Yuca ICA;100;Yuca blanca, sin cáscara, cruda;349,875;159;0,9;37,4;0,3;16;0,3;0,3;21;30;30;0,04;0,03;0,8;27;0;1;14
B110;Zanahoria;100;Zanahoria, sin cáscara, cruda;255,234;47;0,7;9,5;0,1;27;0,2;0,4;10;35;3;0,04;0,04;0,4;22;0;1318;35
C002;Aguacate papelillo;100;Aguacate Lorena, crudo;698,36;179;1,6;10;13,3;10;0,5;0,4;27;40;8;0,05;0,12;1,4;81;0;3;6
C010;Banano criollo;100;Banano común, crudo;202,631;101;1,5;22,3;0,1;8;0,2;0,9;29;27;19;0,05;0,03;0,6;21;0;22;3
C019;Coco;100;Coco, crudo;576,09;402;3,6;12,6;35,5;7;0,8;1,3;40;80;5;0,05;0,02;0,5;26;0;0;18
C025;Fresa;100;Fresa, madura, cruda;519,435;45;0,8;8,3;0,5;21;0,2;0,5;13;26;67;0,03;0,03;0,4;22;0;4;2
C028;Granadilla;100;Granadilla, cruda;2629,368;95;2,1;14,9;1,6;12;0,8;0,9;25;50;0;0,02;0,35;2,1;14;0;28;20
C030;Guanábana;100;Guanábana, cruda;501,644;33;0,6;6,8;0,2;11;15,7;0,2;5;12;0;0,03;0,06;1,1;14;0;1;9
C042;Kiwi;100;Kiwi, crudo;1060,95;73;1;15;0,4;30;0,1;0,4;16;34;80;0,03;0,03;0,4;25;0;18;3
C044;Limón común;100;Limón, crudo;427,8;44;0,3;9,3;0,3;19;0,1;0,5;8;15;42;0,05;0,01;0,1;11;0;1;4
C045;Lulo;100;Lulo, crudo;830,157;48;0,9;8,9;0,1;10;0,1;0,6;19;15;20;0,04;0,04;0,1;7;0;37;0
C050;Mandarina Arrayana;100;Mandarina, cruda;282,711;54;0,9;11,4;0,1;35;0,2;0,3;12;21;24;0,06;0,03;0,2;18;0;35;2
C051;Mango común;100;Mango común, crudo;375;79;0,6;17,1;0;15;0,1;0,5;24;21;48;0,12;0,12;0,5;39;0;140;4
C056;Maracuyá;100;Maracuyá, cruda;1046,359;60;1,5;12,4;0,5;9;0,1;1,7;25;21;20;0,01;0,17;0,8;8;0;173;6
C060;Melón Cantalup;100;Melón, crudo;586,2;25;0,7;5;0;11;0,1;0,4;7;17;0;0,04;0,02;0,6;21;0;68;7
C061;Mora de Castilla;100;Mora de castilla, cruda;533,355;74;1;14,6;0,1;42;0,5;1,7;20;10;18;0,22;0,05;0,9;25;0;0;1
C062;Naranja Sweet;100;Naranja, cruda;267,033;41;0,7;8,8;0,3;33;0,5;1,3;213;20;27;0,35;0,16;0,2;30;0;2;2
C071;Pera importada;100;Pera, cruda;700,094;63;0,3;12,9;0,2;8;0,1;0,4;5;9;2;0,07;0,04;0,2;7;0;0;1
C072;Piña gold;100;Piña, cruda;274,82;56;0,6;12,4;0,1;16;0,2;0,5;12;9;23;0,06;0,05;0,3;16;0;8;3
C079;Patilla;100;Sandía, cruda;468,25;17;0,4;3,7;0;4;0,1;0,3;10;5;7;0,02;0,01;0,1;3;0;30;1
